Frecuencia_Hz;Potencia_dB_Relativa;SNR_Estimado_dB
1920000000;-76.1717013886664;-7.3659880363672
1920100000;-76.0058299378072;-3.39705515513506
1920200000;-76.1940491771629;-4.22019666235292
1920300000;-69.1441706827296;-40
1920400000;-77.5832471608856;3.89234961180568
1920500000;-67.7766507242441;-40
1920600000;-68.7212374267541;-40
1920700000;-68.6802348614013;-40
1920800000;-66.0803298816951;-40
1920900000;-68.2618053870399;-40
1921000000;-64.8718718990703;-40
1921100000;-68.4703863028658;-40
1921200000;-67.962816918857;-40
1921300000;-68.458972020206;-40
1921400000;-68.6197281066461;-40
1921500000;-69.2642976502155;-40
1921600000;-68.3078991398007;-40
1921700000;-68.5330375159228;-40
1921800000;-68.6634842514676;-40
1921900000;-69.3522565385885;-40
1922000000;-69.0978405085987;-40
1922100000;-68.6006465299135;-40
1922200000;-68.2506814290744;-40
1922300000;-68.6871707442993;-40
1922400000;-68.1030627111668;-40
1922500000;-67.6756272505077;-40
1922600000;-67.9488713642382;-40
1922700000;-69.1426869865714;-40
1922800000;-69.1924433363239;-40
1922900000;-68.2301082642811;-40
1923000000;-68.0784399632933;-40
1923100000;-68.9924404818747;-40
1923200000;-69.1578477767284;-40
1923300000;-68.1853682253592;-40
1923400000;-68.8600055220345;-40
1923500000;-68.5511020994964;-40
1923600000;-68.2980111471038;-40
1923700000;-68.7045260909292;-40
1923800000;-67.9279845456342;-40
1923900000;-67.7635726613936;-40
1924000000;-67.6165865554351;-40
1924100000;-69.0957389995538;-40
1924200000;-68.0066837592952;-40
1924300000;-69.0221335962382;-40
1924400000;-68.009012089757;-40
1924500000;-68.1503759644957;-40
1924600000;-68.4335401844816;-40
1924700000;-68.3512568874597;-40
1924800000;-68.6382803722587;-40
1924900000;-68.7065051844874;-40
1925000000;-68.686740119977;-40
1925100000;-68.6698699372771;-40
1925200000;-68.0788143028536;-40
1925300000;-68.8335025988664;-40
1925400000;-68.1723500197149;-40
1925500000;-67.9016875457285;-40
1925600000;-68.722782579058;-40
1925700000;-69.2317328550193;-40
1925800000;-68.5902554567353;-40
1925900000;-68.0953682225582;-40
1926000000;-67.7923514183519;-40
1926100000;-69.1892302622483;-40
1926200000;-68.6678057308763;-40
1926300000;-68.2848177246768;-40
1926400000;-69.1681013227555;-40
1926500000;-67.5478871356756;-40
1926600000;-68.2307521667613;-40
1926700000;-67.8876876470702;-40
1926800000;-68.6639779172455;-40
1926900000;-67.8343536254244;-40
1927000000;-68.9287304819216;-40
1927100000;-67.9644605202742;-40
1927200000;-68.2602173399486;-40
1927300000;-68.4847835560015;-40
1927400000;-67.6052041017069;-40
1927500000;-69.3805492163718;-40
1927600000;-69.1392917975949;-40
1927700000;-68.3466586238149;-40
1927800000;-68.2514670361479;-40
1927900000;-68.9029259348089;-40
1928000000;-68.4736510587766;-40
1928100000;-69.0205097295038;-40
1928200000;-68.6717605643421;-40
1928300000;-68.1230157540694;-40
1928400000;-67.8890418767837;-40
1928500000;-68.5966987100686;-40
1928600000;-68.2120195051368;-40
1928700000;-68.5904410487021;-40
1928800000;-67.9755246601368;-40
1928900000;-67.8998787656639;-40
1929000000;-67.9239722758549;-40
1929100000;-67.9253746174831;-40
1929200000;-68.9601888316558;-40
1929300000;-68.2051094360478;-40
1929400000;-69.123404569458;-40
1929500000;-68.238078348133;-40
1929600000;-69.083886938539;-40
1929700000;-69.018658001278;-40
1929800000;-69.2995030365593;-40
1929900000;-69.2199003813553;-40
1930000000;-68.0253517156099;-40
1930100000;-69.2795132717625;-40
1930200000;-68.2787940743396;-40
1930300000;-69.2639642053111;-40
1930400000;-67.8880155383902;-40
1930500000;-69.2015216314549;-40
1930600000;-68.7071797483546;-40
1930700000;-67.9753759614018;-40
1930800000;-68.4043906759432;-40
1930900000;-68.2221855699119;-40
1931000000;-67.8056178510673;-40
1931100000;-68.6756680437905;-40
1931200000;-69.0396800738954;-40
1931300000;-67.9591303471779;-40
1931400000;-69.2571342206242;-40
1931500000;-68.5596558339132;-40
1931600000;-67.7952094966043;-40
1931700000;-68.2417592537016;-40
1931800000;-68.0528647449411;-40
1931900000;-68.3400365014263;-40
1932000000;-68.4747143707451;-40
1932100000;-68.6917423732056;-40
1932200000;-68.137841535306;-40
1932300000;-67.9766276680257;-40
1932400000;-68.5999096172282;-40
1932500000;-68.5904124955756;-40
1932600000;-68.6048486053252;-40
1932700000;-68.3146130805125;-40
1932800000;-69.0105354902508;-40
1932900000;-67.9046977585865;-40
