Frecuencia_Hz;Potencia_dB_Relativa;SNR_Estimado_dB
1920000000;-76.1141700274549;-4.1610439731102
1920100000;-76.3810429817023;-7.77302093965625
1920200000;-76.1754248658143;-5.09797670486616
1920300000;-69.128806981047;-40
1920400000;-76.6554627866919;0.83739967937888
1920500000;-68.0366413973127;-40
1920600000;-66.4250734268563;-40
1920700000;-68.012341335635;-40
1920800000;-67.9773900225753;-40
1920900000;-68.7696326836237;-40
1921000000;-68.0135849919869;-40
1921100000;-68.7166934510541;-40
1921200000;-67.8356973230974;-40
1921300000;-67.1906157709191;-40
1921400000;-67.722760614358;-40
1921500000;-68.6405111127475;-40
1921600000;-65.0608278256057;-40
1921700000;-67.8906334845807;-40
1921800000;-67.569338295562;-40
1921900000;-68.178727635657;-40
1922000000;-69.0037861673822;-40
1922100000;-68.6764616114876;-40
1922200000;-68.4144350367263;-40
1922300000;-69.0749951281554;-40
1922400000;-68.3719586252866;-40
1922500000;-68.6502705271687;-40
1922600000;-67.8052842064438;-40
1922700000;-67.6392578528425;-40
1922800000;-67.6477011399042;-40
1922900000;-68.3429754235506;-40
1923000000;-68.8781584744024;-40
1923100000;-69.0500786210867;-40
1923200000;-68.0820324158287;-40
1923300000;-68.9943672368564;-40
1923400000;-68.4624361280288;-40
1923500000;-68.3730109049438;-40
1923600000;-68.8205072305757;-40
1923700000;-68.4597754470958;-40
1923800000;-68.6555714826342;-40
1923900000;-67.7996459158461;-40
1924000000;-68.6523626178107;-40
1924100000;-68.4022027599315;-40
1924200000;-67.4261168859157;-40
1924300000;-68.3854675257161;-40
1924400000;-67.8684703755414;-40
1924500000;-68.7884195269574;-40
1924600000;-67.823379674345;-40
1924700000;-68.6341900496284;-40
1924800000;-68.6896677470783;-40
1924900000;-68.4157170726997;-40
1925000000;-69.3595531674584;-40
1925100000;-68.2823633751205;-40
1925200000;-68.396430586847;-40
1925300000;-68.8515297187755;-40
1925400000;-68.224921105585;-40
1925500000;-68.4889377168455;-40
1925600000;-67.9671497057833;-40
1925700000;-69.2392523046286;-40
1925800000;-68.5817909048908;-40
1925900000;-68.6408071870894;-40
1926000000;-67.4137847433373;-40
1926100000;-68.3279982629944;-40
1926200000;-69.0632710999844;-40
1926300000;-67.4296179153245;-40
1926400000;-67.2459025341957;-40
1926500000;-68.288238833876;-40
1926600000;-67.9329820929861;-40
1926700000;-68.2411334772123;-40
1926800000;-69.1090872135389;-40
1926900000;-67.5439080162061;-40
1927000000;-68.0836328388951;-40
1927100000;-68.5300727623413;-40
1927200000;-68.3481233276895;-40
1927300000;-68.102590577049;-40
1927400000;-68.4304774321168;-40
1927500000;-68.1427196076971;-40
1927600000;-69.1410174211588;-40
1927700000;-67.9238436995044;-40
1927800000;-69.2135594902366;-40
1927900000;-67.8045216863989;-40
1928000000;-68.6971966446885;-40
1928100000;-68.0953618533198;-40
1928200000;-68.3670807371477;-40
1928300000;-68.0963491967729;-40
1928400000;-68.4206773847392;-40
1928500000;-67.920746772049;-40
1928600000;-68.1089367764608;-40
1928700000;-67.8581155135029;-40
1928800000;-67.4969457656394;-40
1928900000;-67.745465610586;-40
1929000000;-68.8124912239624;-40
1929100000;-67.2608452025858;-40
1929200000;-67.8521011130792;-40
1929300000;-68.2178922211113;-40
1929400000;-68.2423390008025;-40
1929500000;-68.6339160563538;-40
1929600000;-68.4381004591649;-40
1929700000;-68.6223232464814;-40
1929800000;-69.1555544273895;-40
1929900000;-68.1013147956559;-40
1930000000;-67.9196456305632;-40
1930100000;-67.9700261949387;-40
1930200000;-67.9320741354721;-40
1930300000;-68.8023158367617;-40
1930400000;-68.9592717541591;-40
1930500000;-68.1568311885193;-40
1930600000;-68.995503326315;-40
1930700000;-68.9121561003215;-40
1930800000;-68.7848422744871;-40
1930900000;-68.2805750346761;-40
1931000000;-69.0989157193781;-40
1931100000;-67.9672239138177;-40
1931200000;-68.2543664298187;-40
1931300000;-68.2935688846571;-40
1931400000;-68.2943622889034;-40
1931500000;-67.9746882959718;-40
1931600000;-67.6670256696971;-40
1931700000;-68.2822636341452;-40
1931800000;-67.7497514842641;-40
1931900000;-68.4608422952445;-40
1932000000;-68.7195678087573;-40
1932100000;-68.4502477922409;-40
1932200000;-67.5057226714136;-40
1932300000;-68.4279256413711;-40
1932400000;-67.9257543686699;-40
1932500000;-68.6979429355975;-40
1932600000;-69.4077175387907;-40
1932700000;-68.275592840676;-40
1932800000;-67.8082521603626;-40
1932900000;-68.5870944733422;-40
1933000000;-67.7903263519671;-40
1933100000;-67.8473822083602;-40
1933200000;-67.9819483470752;-40
1933300000;-68.4388793533016;-40
1933400000;-68.6798923656249;-40
1933500000;-68.7055008650461;-40
1933600000;-68.4014372496577;-40
1933700000;-68.9856097425635;-40
1933800000;-68.4292254228877;-40
1933900000;-67.8190982536677;-40
1934000000;-68.5031308389543;-40
1934100000;-68.2623944354641;-40
1934200000;-67.8148747872065;-40
1934300000;-68.6857257670315;-40
1934400000;-68.297817620606;-40
1934500000;-68.2243174339707;-40
1934600000;-68.2228545345752;-40
1934700000;-68.2866477494354;-40
1934800000;-68.007076928582;-40
1934900000;-68.584064088044;-40
1935000000;-68.5785577666268;-40
1935100000;-69.0726015253624;-40
1935200000;-68.232355767404;-40
1935300000;-68.7321683054291;-40
1935400000;-68.1817412829238;-40
1935500000;-67.8367593783261;-40
1935600000;-67.395313993448;-40
1935700000;-68.2883453708099;-40
1935800000;-68.271796925454;-40
1935900000;-68.1148955721755;-40
